Date,Open,High,Low,Close,Volume,Adj Close
2017-01-27,91.220001,91.559998,90.870003,91.120003,783400,91.120003
2017-01-26,90.639999,91.040001,90.43,90.82,763900,90.82
2017-01-25,90.940002,91.290001,90.559998,91.220001,997300,91.220001
2017-01-24,90.010002,90.129997,89.309998,89.629997,1187700,89.629997
2017-01-23,89.440002,89.470001,88.839996,89.300003,647000,89.300003
2017-01-20,89.370003,89.589996,89.309998,89.400002,418700,89.400002
2017-01-19,88.800003,89.489998,88.800003,89.230003,1122300,89.230003
2017-01-18,88.900002,89.379997,88.870003,89.349998,789700,89.349998
2017-01-17,89.510002,89.739998,89.279999,89.639999,853600,89.639999
2017-01-13,89.279999,89.68,89.099998,89.440002,403200,89.440002
2017-01-12,88.720001,89.620003,88.669998,89.389999,609700,89.389999
2017-01-11,87.830002,88.919998,87.760002,88.790001,1408800,88.790001
2017-01-10,89.029999,89.279999,88.510002,88.629997,576500,88.629997
2017-01-09,88.970001,89.480003,88.919998,89.360001,1214400,89.360001
2017-01-06,87.82,88.730003,87.720001,88.470001,906200,88.470001
2017-01-05,86.370003,87.949997,86.330002,87.849998,1248600,87.849998
2017-01-04,85.660004,86.699997,85.489998,86.660004,1042800,86.660004
2017-01-03,86.25,86.440002,85.919998,86.300003,791900,86.300003
2016-12-30,86.919998,87.230003,86.07,86.43,834300,86.43
2016-12-29,86.379997,86.690002,86.230003,86.510002,521400,86.510002
2016-12-28,85.919998,86.029999,85.540001,85.68,356900,85.68
2016-12-27,85.760002,86.139999,85.730003,85.800003,315100,85.800003
2016-12-23,85.440002,85.75,85.419998,85.690002,348500,85.690002
2016-12-22,85.949997,85.989998,85.580002,85.709999,1016900,85.709999
2016-12-21,86.610001,86.669998,85.849998,85.949997,470200,85.949997
2016-12-20,85.769997,86.089996,85.580002,86.050003,415400,86.050003
2016-12-19,85.470001,85.879997,85.110001,85.269997,423100,85.269997
2016-12-16,84.809998,85.209999,84.760002,85.010002,529700,85.010002
2016-12-15,84.279999,84.940002,84.139999,84.68,764800,84.68
2016-12-14,85.599998,85.980003,84.709999,84.910004,686000,84.910004
2016-12-13,85.169998,86.050003,85.169998,85.440002,480900,85.440002
2016-12-12,84.699997,84.730003,84.029999,84.459999,762700,84.459999
2016-12-09,84.370003,84.620003,84.209999,84.43,545200,84.43
2016-12-08,84.169998,84.639999,84.050003,84.239998,869800,84.239998
2016-12-07,83.50,84.949997,83.449997,84.739998,570000,84.739998
2016-12-06,82.489998,83.150002,82.449997,82.989998,674200,82.989998
2016-12-05,82.849998,83.290001,82.589996,83.129997,436500,83.129997
2016-12-02,81.470001,82.419998,81.300003,81.919998,1249300,81.919998
2016-12-01,82.889999,82.970001,81.75,81.910004,853800,81.910004
2016-11-30,84.290001,84.290001,83.160004,83.220001,594700,83.220001
2016-11-29,83.919998,84.790001,83.82,84.519997,587300,84.519997
2016-11-28,85.010002,85.230003,84.529999,84.559998,703100,84.559998
2016-11-25,85.800003,85.849998,85.349998,85.610001,658100,85.610001
2016-11-23,83.739998,84.190002,83.57,84.139999,843300,84.139999
2016-11-22,84.790001,85.519997,84.360001,85.400002,1709700,85.400002
2016-11-21,83.839996,84.25,83.650002,84.25,673100,84.25
2016-11-18,82.919998,83.279999,82.730003,83.220001,867000,83.220001
2016-11-17,82.150002,82.690002,82.040001,82.459999,1057900,82.459999
2016-11-16,81.629997,82.519997,81.620003,82.239998,882400,82.239998
2016-11-15,80.949997,81.889999,80.93,81.839996,1827800,81.839996
2016-11-14,81.440002,81.860001,81.07,81.610001,1289400,81.610001
2016-11-11,82.599998,83.260002,82.260002,83.120003,1383100,83.120003
2016-11-10,84.830002,85.529999,83.650002,84.349998,1319800,84.349998
